iter	Passed	Remaining
534	5115	4446
535	5124	4436
536	5132	4424
537	5140	4414
538	5147	4403
539	5157	4393
540	5165	4382
541	5173	4371
542	5181	4360
543	5189	4350
544	5197	4338
545	5205	4328
546	5213	4317
547	5222	4307
548	5229	4296
549	5239	4286
550	5246	4275
551	5254	4264
552	5262	4253
553	5271	4244
554	5279	4233
555	5288	4223
556	5297	4213
557	5307	4203
558	5314	4192
559	5335	4191
560	5349	4186
561	5361	4178
562	5369	4168
563	5378	4158
564	5388	4148
565	5397	4138
566	5405	4128
567	5415	4118
568	5424	4108
569	5433	4098
570	5442	4088
571	5451	4078
572	5460	4068
573	5469	4059
574	5478	4049
575	5487	4039
576	5496	4029
577	5504	4018
578	5512	4008
579	5521	3997
580	5530	3988
581	5538	3977
582	5547	3968
583	5556	3958
584	5564	3947
585	5572	3936
586	5580	3926
587	5587	3915
588	5596	3904
589	5603	3894
590	5612	3884
591	5620	3873
592	5628	3863
593	5636	3852
594	5644	3842
595	5652	3831
596	5660	3820
597	5668	3810
598	5676	3800
599	5685	3790
600	5694	3780
601	5702	3769
602	5710	3759
603	5719	3749
604	5727	3739
605	5735	3729
606	5743	3718
607	5751	3708
608	5760	3698
609	5768	3688
610	5776	3677
611	5785	3667
612	5793	3657
613	5801	3647
614	5809	3636
615	5818	3627
616	5827	3617
617	5836	3607
618	5845	3597
619	5854	3588
620	5863	3578
621	5872	3568
622	5881	3559
623	5892	3550
624	5904	3542
625	5913	3533
626	5924	3524
627	5934	3515
628	5945	3506
629	5956	3498
630	5969	3490
631	5977	3480
632	5988	3471
633	6001	3464
634	6010	3454
635	6021	3446
636	6032	3437
637	6042	3428
638	6054	3420
639	6065	3411
640	6076	3403
641	6088	3395
642	6100	3387
643	6109	3377
644	6121	3369
645	6133	3360
646	6143	3351
647	6154	3343
648	6164	3334
649	6173	3324
650	6184	3315
651	6193	3305
652	6204	3297
653	6216	3288
654	6224	3278
655	6235	3270
656	6246	3261
657	6256	3251
658	6267	3242
659	6276	3233
660	6287	3224
661	6298	3216
662	6308	3206
663	6319	3197
664	6330	3189
665	6338	3178
666	6348	3169
667	6357	3159
668	6367	3150
669	6377	3141
670	6385	3130
671	6395	3121
672	6403	3111
673	6412	3101
674	6421	3091
675	6430	3082
676	6440	3072
677	6448	3062
678	6457	3052
679	6466	3042
680	6475	3033
681	6483	3023
682	6492	3013
683	6500	3003
684	6509	2993
685	6517	2983
686	6526	2973
687	6535	2963
688	6544	2953
689	6552	2943
690	6561	2934
691	6570	2924
692	6578	2914
693	6587	2904
694	6594	2894
695	6603	2884
696	6611	2874
697	6620	2864
698	6628	2854
